Designator,Mid X,Mid Y,Rotation,Layer
C1,58.039,-11.684,180.0,top
C2,58.039,3.175,180.0,top
C3,40.6395,-8.0015,180.0,top
C4,22.4795,-13.5895,270.0,top
C5,36.3225,-14.8595,270.0,top
C6,17.653,3.556,270.0,top
CN1,33.909,-17.653,0.0,top
D1,34.417,-5.207,180.0,top
D2,22.733,1.143,180.0,top
D3,29.5656,-10.1855,0.0,top
IC1,23.749,-8.128,180.0,top
L1,43.053,3.048,180.0,top
Q1,31.496,3.175,180.0,top
Q2,23.368,4.572,90.0,top
R1,24.90685,-1.7061,270.0,top
R2,24.90685,-3.9921,270.0,top
R3,17.9621,-8.62115,0.0,top
R4,35.41815,-8.9619,90.0,top
R5,35.44785,-12.1201,270.0,top
R6,41.7111,-15.98715,0.0,top
R7,49.7121,-6.58915,0.0,top
TR1,46.228,-12.446,90.0,top
